Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Chiyoda Ward,2.0,400000000,1K,110,Trapezoidal Shaped,9.0,2018.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,180000000,1K,50,Rectangular Shaped,5.2,1976.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,120000000,1K,65,Semi-rectangular Shaped,6.5,1970.0,S,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,250000000,1K,80,Semi-trapezoidal Shaped,6.8,1986.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,240000000,1K,80,Semi-trapezoidal Shaped,6.8,1986.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,300000000,1K,210,Semi-rectangular Shaped,13.0,1982.0,RC,Other,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,170000000,1K,105,Semi-rectangular Shaped,6.8,1970.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,580000000,1K,115,Semi-rectangular Shaped,6.5,1989.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,420000000,1K,95,Rectangular Shaped,7.0,1990.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,250000000,1K,80,Semi-trapezoidal Shaped,6.7,1993.0,S,Parking Lot,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1600000000,1K,640,Trapezoidal Shaped,35.0,1985.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,630000000,1K,125,Semi-rectangular Shaped,8.0,1987.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,4000000000,1K,770,Semi-rectangular Shaped,28.0,1976.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,4800000000,1K,1200,Irregular Shaped,22.6,1980.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,24000000,1K,80,Rectangular Shaped,10.4,1970.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1000000000,1K,230,Semi-rectangular Shaped,10.0,1999.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,670000000,1K,170,Rectangular Shaped,14.7,1990.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,170000000,1K,90,Irregular Shaped,3.0,2010.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,700000000,1K,300,Semi-rectangular Shaped,15.0,1972.0,RC,Other,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,480000000,1K,300,Semi-rectangular Shaped,13.5,1972.0,RC,Other,North,Not yet
